# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
13 1280 720 1016.8142865456313 1020.1294451846541 644.6203785966023 343.2973230409729 -0.38801754909009556 0.13422041532782633 -0.0011674216284309521 -0.0003567646410624486 cam12 0.890357583020804 -0.44844442288119357 -0.07394128680692849 -0.0263374267809308 0.3063635854486742 -0.230660949726194 3.3304521249440375
14 1280 720 1015.2971843505612 1017.423417567345 632.5140873588898 349.38916723935506 -0.4149790799729752 0.11397959960873855 -0.005200188648577264 0.006666858087286094 cam13 0.8920991688617361 -0.4401005178768698 0.09859066622463314 -0.027395029003339087 -0.6039125894524685 -0.13824651367554316 3.692617783569445
15 1280 720 1024.4946581284848 1019.2407190883137 618.4217274867015 322.9275539543136 -0.4282576436438064 0.18018900763558074 -2.705032760601424e-05 0.0018525447013634671 cam14 0.9582111450753759 -0.1490312454197969 0.24221056234143767 0.030905223380619004 0.44162936940931297 -0.43405447164880706 3.1519224322673978
16 1280 720 1022.0608017802318 1019.0970093263295 641.9008193090875 345.91758797349866 -0.3878943436943958 0.1314377985988501 0.0009682196104751619 0.002218680145887714 cam15 0.990018324808977 -0.13188416999785016 -0.04736096541070478 -0.01507385822446029 0.4556865532268668 -0.4436269588086353 2.711724431495787
17 1280 720 1020.8954268249291 1018.6770404609563 643.6200720907003 347.4233213416112 -0.39947681116817874 0.14246962541177313 0.00011717268297587489 0.0018282984968983457 cam16 0.9277642693837808 -0.15539386210065617 -0.3320003648020149 -0.06987106588245957 0.35806304519069093 -0.1580231188038533 3.5696751244701375
18 1280 720 1022.1470752755447 1020.3921133250985 645.8527048472247 332.12527049339445 -0.4123477312936498 0.1690459983735501 0.00036913019243425523 0.000631017671220455 cam17 0.8701751215316548 -0.05546103737274291 0.43820899213125847 0.21838546292328123 0.5616909948938816 0.7135636767285076 3.5321787075763487
19 1280 720 1018.6826758072891 1016.6658954505584 640.5159252749476 329.58441085114964 -0.3983171428477261 0.13554957790556982 -0.0005278680253330933 0.0008257293883633972 cam18 0.6538896306033953 0.04051881411860006 0.661070345007562 0.3657493344400788 -1.2177106168664813 -0.18927258220500995 3.394436279109451
20 1280 720 1015.9687840273582 1013.1586168017882 628.3266510659513 360.19418625830497 -0.4046614465158147 0.14867618100139865 -0.0002678736312037605 0.0006347623199806057 cam19 0.7389233626366827 0.022048104058841753 0.571022431128552 0.356986734214517 -0.06607545619761501 0.05125679271734127 3.039482013081361
21 1280 720 1017.3024339211476 1020.0325054208205 651.0005240427432 360.28643907217213 -0.38834987724435266 0.12802552867706113 -0.0010195946878004541 0.0008276841738974726 cam20 0.6652199707938224 -0.3356101839601299 0.6662252461863257 -0.03149787648848109 0.09862866023868733 -0.5670762799621228 2.9950838153780395
22 1280 720 1014.7773610269244 1013.4982204046322 666.2092633809724 345.05574624817444 -0.38480856610730085 0.1181398058085533 -0.0008707581849895486 -0.0002590234899530761 cam21 0.7958493195577271 -0.33845098251075284 0.4923861576728471 -0.09813595023832623 0.5001706655877293 -0.48639053364964735 3.5165239273852777
